index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
179,62c5f7dd262dbd2259e42ba2,2022-05-29T22:00:00.000Z,"Griff (💜,💜)#8888",liviade#1387,"@griff (💜, 💜) for articulating solutions for the snapshot voting bug and quickly pulling Vitor in to help! ",13,13.0,89.0,,,,False,False,False,RachaelMalachy#5837,liviade#1387,usamaahmed#9991,38.33,76.0
102,62c5f7dd262dbd2259e42b55,2022-05-24T22:00:00.000Z,kristofer#1475,liviade#1387,"for organizing and leading a call with polygon today to present Praise, our dear product :) ",3,3.0,55.0,,,,False,False,False,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,20.33,52.0
172,62c5f7dd262dbd2259e42b9b,2022-05-26T22:00:00.000Z,Life is for living#9260,iviangita#3204,"@Life is for living for sharing his knowledge and expertise on Twitter to help us improve our Twitter engagement, it was a great learning session! 🙏🏽 ",8,5.0,55.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,22.67,50.0
180,62c5f7dd262dbd2259e42ba3,2022-05-29T22:00:00.000Z,VitorNunes#0090,liviade#1387,for identifying the problems with the snapshot vote and for being promptly available ,5,55.0,,,,,False,False,False,mafer_cordovas#1034,usamaahmed#9991,usamaahmed#9991,30.0,50.0
100,62c5f7dd262dbd2259e42b53,2022-05-23T22:00:00.000Z,liviade#1387,RachaelMalachy#5837,and for honoring our invitation under short notice and sharing their wealth of knowledge to help improve Praise and make it a great tool for our communities ,13,5.0,55.0,,,,False,False,False,RachaelMalachy#5837,mafer_cordovas#1034,usamaahmed#9991,24.33,50.0
12,62c5f7dd262dbd2259e42afb,2022-05-08T22:00:00.000Z,Tamarandom#9361,liviade#1387,for her incredible work coordinating the commons prize! ,5,55.0,5.0,,,,False,False,False,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,21.67,50.0
14,62c5f7dd262dbd2259e42afd,2022-05-12T22:00:00.000Z,Marcel | Toucan#7777,Tamarandom#9361,@Marcel | Toucan x1000 for discovering a significant bug in one of the voting tools we're using so that it can be quickly fixed and votes audited. ,5,55.0,21.0,,,,False,False,False,Yineisy Mota#1449,RachaelMalachy#5837,Tamarandom#9361,27.0,50.0
178,62c5f7dd262dbd2259e42ba1,2022-05-29T22:00:00.000Z,Tamarandom#9361,liviade#1387,for how well she dealt with the bugs on snapshot and for drafting a very clear an concise message to the community 🙌🏽 ,5,34.0,1.0,,,,False,False,False,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,13.33,33.0
41,62c5f7dd262dbd2259e42b18,2022-05-15T22:00:00.000Z,graial#0787,Tamarandom#9361,@Nick FIORΞNZA @John Ellison @The Blockchain Socialist ⬛🟥⬛ for presenting their nominations for the Commons Prize in today's voting party! It was great to get to ask questions in real time and hear more about your visions of these communities. ,1,3.0,34.0,,,,False,False,False,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,12.67,33.0
110,62c5f7dd262dbd2259e42b5d,2022-05-26T22:00:00.000Z,richardblythman | Algovera.ai#3425,Tamarandom#9361,@richardblythman | Algovera.ai for wearing his Trusted Seed hat in the Commons Prize AMA today! ,3,34.0,3.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,liviade#1387,13.33,31.0
49,62c5f7dd262dbd2259e42b20,2022-05-15T22:00:00.000Z,graial#0787,Tamarandom#9361,"@Chris Byrnes @kn00t (🦎, 🦎) @John Ellison for presenting their community nominations for Commons Prize last Friday! These videos will help the Trusted Seed get to know you and the nominated communities better in order to cast their votes. ",5,3.0,34.0,,,,False,False,False,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,14.0,31.0
47,62c5f7dd262dbd2259e42b1e,2022-05-15T22:00:00.000Z,T!b!#2584,Tamarandom#9361,"@Chris Byrnes @kn00t (🦎, 🦎) @John Ellison for presenting their community nominations for Commons Prize last Friday! These videos will help the Trusted Seed get to know you and the nominated communities better in order to cast their votes. ",5,3.0,34.0,,,,False,False,False,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,14.0,31.0
43,62c5f7dd262dbd2259e42b1a,2022-05-15T22:00:00.000Z,DiogoJ#2058,Tamarandom#9361,"@Chris Byrnes @kn00t (🦎, 🦎) @John Ellison for presenting their community nominations for Commons Prize last Friday! These videos will help the Trusted Seed get to know you and the nominated communities better in order to cast their votes. ",3,8.0,34.0,,,,False,False,False,mafer_cordovas#1034,liviade#1387,usamaahmed#9991,15.0,31.0
177,62c5f7dd262dbd2259e42ba0,2022-05-29T22:00:00.000Z,Tamarandom#9361,PhilH#1102,for reaching to Snapshot in order to help me with my issue with Commons Prize voting 🙏 ,5,34.0,3.0,,62c5f7dd262dbd2259e42ba1,,False,False,False,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,6.07,31.0
176,62c5f7dd262dbd2259e42b9f,2022-05-28T22:00:00.000Z,iviangita#3204,Tamarandom#9361,"@Yineisy Mota for doing SO MUCH outreach for Commons Prize and making sure all Trusted Seed know about the final vote and the finalists to vote for!
\ ",3,13.0,34.0,,,,False,False,False,Yineisy Mota#1449,RachaelMalachy#5837,usamaahmed#9991,16.67,31.0
185,62c5f7dd262dbd2259e42ba8,2022-05-30T22:00:00.000Z,fabiomendes#4802,mafer_cordovas#1034,for helping with the updates and issues on the Dapp ,5,5.0,34.0,,,,False,False,False,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,14.67,29.0
51,62c5f7dd262dbd2259e42b22,2022-05-15T22:00:00.000Z,Kojak#5611,Tamarandom#9361,"@Chris Byrnes @kn00t (🦎, 🦎) @John Ellison for presenting their community nominations for Commons Prize last Friday! These videos will help the Trusted Seed get to know you and the nominated communities better in order to cast their votes. ",5,5.0,34.0,,,,False,False,False,Yineisy Mota#1449,RachaelMalachy#5837,usamaahmed#9991,14.67,29.0
127,62c5f7dd262dbd2259e42b6e,2022-05-26T22:00:00.000Z,"Griff (💜,💜)#8888",Tamarandom#9361,"@griff (💜, 💜) for being the inimitable master of ceremonies for the Commons Prize AMA and asking questions to help the Trusted Seed make this very difficult decision. All 5 finalists are extraordinary and it would be a privilege to work with any of them. ",34,8.0,21.0,,,,False,False,False,RachaelMalachy#5837,liviade#1387,usamaahmed#9991,21.0,26.0
40,62c5f7dd262dbd2259e42b17,2022-05-15T22:00:00.000Z,markop#2007,Tamarandom#9361,@Nick FIORΞNZA @John Ellison @The Blockchain Socialist ⬛🟥⬛ for presenting their nominations for the Commons Prize in today's voting party! It was great to get to ask questions in real time and hear more about your visions of these communities. ,1,3.0,21.0,,,,False,False,False,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,8.33,20.0
59,62c5f7dd262dbd2259e42b2a,2022-05-16T22:00:00.000Z,Kris#8703,Tamarandom#9361,"@griff (💜, 💜) @Max Semenchuk for the Trusted Seed General Assembly today. (And Raf, but I can't find his handle in our Discord) ",1,21.0,5.0,,,,False,False,False,Yineisy Mota#1449,Tamarandom#9361,liviade#1387,9.0,20.0
