index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
0,62c5f7dd262dbd2259e42953,2022-02-24T23:00:00.000Z,ALOYSIOUS#3049,Ekeneodigwe#1502,for willingness to share knowledge and support us in curating Identity exploration content that will explore the inclusive culture in the Public Goods space ,13,144,8,,,,False,False,False,RachaelMalachy#5837,mafer_cordovas#1034,liviade#1387,55.0,136
8,62c5f7dd262dbd2259e4295b,2022-02-24T23:00:00.000Z,logonaut.eth#9437,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,89,1,,62c5f7dd262dbd2259e42964,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,Yineisy Mota#1449,10.23,88
17,62c5f7dd262dbd2259e42964,2022-03-03T23:00:00.000Z,logonaut.eth#9437,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,89,1,,,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,Yineisy Mota#1449,31.0,88
7,62c5f7dd262dbd2259e4295a,2022-02-24T23:00:00.000Z,Yineisy Mota#1449,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,89,1,,,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,mafer_cordovas#1034,31.0,88
1,62c5f7dd262dbd2259e42954,2022-02-24T23:00:00.000Z,mafer_cordovas#1034,Ekeneodigwe#1502,"@Yineisy Mota for their ideas, availability and contributions to acknowledging Identity Spectrum. ",3,89,5,,,,False,False,False,Tamarandom#9361,usamaahmed#9991,Yineisy Mota#1449,32.33,86
5,62c5f7dd262dbd2259e42958,2022-02-24T23:00:00.000Z,mafer_cordovas#1034,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1,55,1,,,,False,False,False,Tamarandom#9361,usamaahmed#9991,Yineisy Mota#1449,19.0,54
2,62c5f7dd262dbd2259e42955,2022-02-24T23:00:00.000Z,Yineisy Mota#1449,Ekeneodigwe#1502,"@Yineisy Mota for their ideas, availability and contributions to acknowledging Identity Spectrum. ",13,55,55,,,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,mafer_cordovas#1034,41.0,42
12,62c5f7dd262dbd2259e4295f,2022-03-02T23:00:00.000Z,freshelle#9882,Yineisy Mota#1449,for being so supportive of me today and helping me with my trace 🙏 🥺 ,3,3,13,,,,False,False,False,Tamarandom#9361,Yineisy Mota#1449,liviade#1387,6.33,10
11,62c5f7dd262dbd2259e4295e,2022-03-02T23:00:00.000Z,mafer_cordovas#1034,innov8tor3#3988," for their super supportive attitude, and their alertness in Twitter to possibilities for CS and TEC, I hope to build on that immediately. ",5,13,5,,,,False,False,False,Tamarandom#9361,usamaahmed#9991,Yineisy Mota#1449,7.67,8
16,62c5f7dd262dbd2259e42963,2022-03-03T23:00:00.000Z,mafer_cordovas#1034,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1,5,1,,,,False,False,False,Tamarandom#9361,usamaahmed#9991,Yineisy Mota#1449,2.33,4
9,62c5f7dd262dbd2259e4295c,2022-02-24T23:00:00.000Z,shawn#7046,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,mafer_cordovas#1034,1.67,2
6,62c5f7dd262dbd2259e42959,2022-02-24T23:00:00.000Z,MS#4235,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,mafer_cordovas#1034,liviade#1387,1.67,2
4,62c5f7dd262dbd2259e42957,2022-02-24T23:00:00.000Z,Ekeneodigwe#1502,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,mafer_cordovas#1034,liviade#1387,1.67,2
13,62c5f7dd262dbd2259e42960,2022-03-03T23:00:00.000Z,Ekeneodigwe#1502,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,mafer_cordovas#1034,liviade#1387,1.67,2
14,62c5f7dd262dbd2259e42961,2022-03-03T23:00:00.000Z,Shaun#4583,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,mafer_cordovas#1034,1.67,2
3,62c5f7dd262dbd2259e42956,2022-02-24T23:00:00.000Z,ALOYSIOUS#3049,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,mafer_cordovas#1034,liviade#1387,1.67,2
18,62c5f7dd262dbd2259e42965,2022-03-03T23:00:00.000Z,thiago.rossi#1714,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,mafer_cordovas#1034,1.67,2
19,62c5f7dd262dbd2259e42966,2022-03-03T23:00:00.000Z,shawn#7046,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,mafer_cordovas#1034,1.67,2
21,62c5f7dd262dbd2259e42968,2022-03-03T23:00:00.000Z,omniharmonic#7096,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3,1,1,,,,False,False,False,RachaelMalachy#5837,usamaahmed#9991,mafer_cordovas#1034,1.67,2
10,62c5f7dd262dbd2259e4295d,2022-02-24T23:00:00.000Z,Leanne#9678,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1,1,1,,,,False,False,False,Tamarandom#9361,mafer_cordovas#1034,liviade#1387,1.0,0
15,62c5f7dd262dbd2259e42962,2022-03-03T23:00:00.000Z,Leanne#9678,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1,1,1,,,,False,False,False,Tamarandom#9361,mafer_cordovas#1034,liviade#1387,1.0,0
20,62c5f7dd262dbd2259e42967,2022-03-03T23:00:00.000Z,captnseagraves#0891,freshelle#9882,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1,1,1,,,,False,False,False,Tamarandom#9361,usamaahmed#9991,Yineisy Mota#1449,1.0,0
